msd,ls,pressure
49296.62499999903,165.49498137283805,700.8055360256059
49296.6666666657,165.51804529935185,696.4800570706693
49296.70833333236,165.5411109411516,694.5788025916676
49296.749999999025,165.56417829686566,700.3172633548688
49296.79166666569,165.58724736630057,723.4900439962297
49296.83333333235,165.610318149817,742.4183075740592
49296.87499999902,165.6333906477048,741.718993674082
49296.91666666568,165.6564648605448,744.8271322389899
49296.958333332346,165.67954078823726,757.3609586290853
49296.99999999901,165.7026184289319,761.8426605081404
49297.041666665675,165.72569778600658,762.6400400023127
49297.08333333234,165.74877885806157,766.453665066051
49297.124999999,165.77186164563832,768.9918569813377
49297.16666666567,165.79494614793472,771.4516691626931
49297.20833333233,165.8180323643654,771.4350076941869
49297.249999998996,165.8411202978446,772.0532613698272
49297.29166666566,165.86420994697272,783.7573305186323
49297.333333332324,165.88730131227726,790.787857484283
49297.37499999899,165.9103943916758,775.5668541504104
49297.41666666565,165.93348918866425,754.7777314082559
49297.45833333232,165.95658570183767,741.4314164544231
49297.49999999898,165.9796839315752,730.0686192870959
49297.541666665646,166.00278387607074,720.6817269320265
49297.58333333231,166.02588553864388,711.3865091296614
49297.624999998974,166.04898891793326,701.4457964289616
49297.66666666564,166.07209401432763,697.0237994671186
49297.7083333323,166.09520082599107,695.2227788898847
49297.74999999897,166.11830935621077,700.6351729889406
49297.79166666563,166.1414196033372,723.3178550693286
49297.833333332295,166.16453156770717,742.1649787423987
49297.87499999896,166.18764524959272,741.7205489795348
49297.916666665624,166.21076064958365,745.1292072761136
49297.95833333229,166.23387776733802,757.8804121571667
49297.99999999895,166.25699660318406,762.3714384327944
49298.04166666562,166.280117155336,762.9747596773225
49298.08333333228,166.30323942707952,766.9363961676852
49298.124999998945,166.32636331955595,769.762552347442
49298.16666666561,166.34948911652634,772.0895468221402
49298.20833333227,166.37261655254358,771.8807359817976
49298.24999999894,166.3957456968414,772.820919521483
49298.2916666656,166.41887647470833,785.0648867760748
49298.333333332266,166.44200904655756,792.0988255234404
49298.37499999893,166.4651434369327,776.5193898080789
49298.416666665595,166.48827946722312,755.886175557435
49298.45833333226,166.511417207896,742.8728634949772
49298.49999999892,166.53455666820656,731.1651107899836
49298.54166666559,166.55769774895612,721.2995991497681
49298.58333333225,166.58084073627657,711.9651210043031
49298.624999998916,166.6039853642585,701.9653762639025
49298.66666666558,166.6271317031057,697.3835210904061
49298.708333332244,166.65027978297533,695.5475038568516
49298.74999999891,166.6734294408304,700.9147364628162
49298.79166666557,166.69658094123167,723.5773052568601
49298.83333333224,166.7197341605589,742.5430042164336
49298.8749999989,166.74288914986124,742.3910668262814
49298.916666665566,166.76604585888586,746.1613352497471
49298.95833333223,166.78920424061184,758.8226088219006
49298.999999998894,166.81236434147536,762.921468876561
49299.04166666556,166.83552606702992,763.6058334138902
49299.08333333222,166.85868970009543,767.7409067142
49299.12499999889,166.88185497412954,770.3545583519676
49299.16666666555,166.90502186316297,772.5979460756602
49299.208333332215,166.92819066026,772.4645012496093
49299.24999999888,166.95136109937766,773.3595227525345
49299.291666665544,166.97453325000788,785.652954828256
49299.33333333221,166.99770712356406,792.7352388471381
49299.37499999887,167.0208826208477,777.251135469255
49299.41666666554,167.04406002737568,757.0598299883287
49299.4583333322,167.06723907625067,744.2007854826982
49299.499999998865,167.0904198367704,732.0567470262794
49299.54166666553,167.11360232117676,721.9500297569348
49299.58333333219,167.1367864298994,712.5877598602635
49299.62499999886,167.15997244848418,702.3811181206818
49299.66666666552,167.1831601099797,697.6503823004798
49299.708333332186,167.2063494835736,695.7191567996709
49299.74999999885,167.229540582792,701.1491195194847
49299.791666665515,167.25273330504393,724.2633408177044
49299.83333333218,167.27592793778697,743.4613196226716
49299.87499999884,167.29912421419317,743.2258466736242
49299.91666666551,167.32232210778122,747.1446881855845
49299.95833333217,167.34552191122563,759.709566189163
